weekday,delayed,count,percent_delayed
Friday,9164,82874,11.057750319762532
Monday,1189,11222,10.595259312065586
Saturday,969,9884,9.803723188992311
Sunday,694,7710,9.00129701686122
Thursday,8654,77224,11.206360716875583
Tuesday,4098,35853,11.430005857250439
Wednesday,5529,44941,12.302797000511783
