TiplocCode,StationName,Latitude,Longitude
BRNCHTN,Branchton Rail Station,55.940594152334484,-4.803547958899982
STKEYNE,St Keyne Wishing Well Halt (Rail Station),50.42303847387224,-4.463519760409235
LOOE,Looe Rail Station,50.35922362400086,-4.456163606488845
FRTMTLD,Fort Matilda Rail Station,55.9590295774642,-4.795267314613443
ACHANLT,Achanalt Rail Station,57.609594449228375,-4.913851095602445
DRMFCHR,Drumfrochar Rail Station,55.941246186701036,-4.774765887194345
STVNSTN,Stevenston Rail Station,55.63427743667452,-4.750789435393329
ROYBDGE,Roy Bridge Rail Station,56.88836263759904,-4.837241937886818
GRENCKW,Greenock West Rail Station,55.947334758004104,-4.767833037895971
GRENCKC,Greenock Central Rail Station,55.94533843415752,-4.752633825007706
WHINH,Whinhill Rail Station,55.938370071932866,-4.746694197362046
MENHENT,Menheniot Rail Station,50.42622694834769,-4.409222910141376
VALLEY,Valley Rail Station,53.2812828157002,-4.563368686730731
CRTSDYK,Cartsdyke Rail Station,55.94221164193687,-4.731590566515244
KILWNNG,Kilwinning Rail Station,55.655949685301145,-4.7100184652304025
HLNSBRC,Helensburgh Central Rail Station,56.0042066494521,-4.732757667359899
DALRY,Dalry Rail Station,55.70621863036283,-4.711079478917941
MAYBOLE,Maybole Rail Station,55.354734827921504,-4.685288593350435
HLNSBRU,Helensburgh Upper Rail Station,56.01236175616019,-4.729803863144756
BOORCHY,Bridge of Orchy Rail Station,56.51586553694922,-4.762992627994323
BOGSTON,Bogston Rail Station,55.93704008083389,-4.711400827909877
CRGDRN,Craigendoran Rail Station,55.994794562263564,-4.711243577611306
ARCHRAT,Arrochar & Tarbet Rail Station,56.20396932355951,-4.722769890902664
IRVN,Irvine Rail Station,55.610872623914005,-4.675145288003446
ARDLUI,Ardlui Rail Station,56.301965081599384,-4.721657225802285
PTGLSGW,Port Glasgow Rail Station,55.93351347181373,-4.689825560250749
GLGN,Glengarnock Rail Station,55.73888603881324,-4.67450152579782
LCHLCHR,Lochluichart Rail Station,57.621755522150885,-4.809048643784241
TROON,Troon Rail Station,55.54280966647824,-4.655299400345207
TYNDRML,Tyndrum Lower Rail Station,56.43334058730313,-4.71482089392503
RHOSNGR,Rhosneigr Rail Station,53.234836028569596,-4.506641748373545
BARASIE,Barassie Rail Station,55.561057202830064,-4.651138353147006
TYNDRMU,Upper Tyndrum Rail Station,56.43466164408027,-4.703721279304418
AYRR,Ayr Rail Station,55.45814051578477,-4.62587547126802
NWTOA,Newton-on-Ayr Rail Station,55.47405181186036,-4.625826150174662
WHHL,Woodhall Rail Station,55.93120473162638,-4.655400878145667
CDRS,Cardross Rail Station,55.960377168972116,-4.653073056987895
TYCROES,Ty Croes Rail Station,53.222555907305534,-4.474732632452965
PWCK,Prestwick Rail Station,55.50169614573043,-4.615156162524546
PWCKAPT,Prestwick Intl Airport Rail Station,55.509034065746505,-4.61416991352809
TULLOCH,Tulloch Rail Station,56.88427714075653,-4.701320923860432
